Term,TotalFrequency
cricket,23966
report,17092
world,14481
time,10986
make,10472
year,10336
day,10213
news,9704
game,9140
country,8318
india,7332
read,7107
home,7009
work,6718
page,6708
site,6645
find,6469
learn,6360
open,6309
include,6203
service,6191
people,6013
information,5957
post,5631
kid,5538
show,5520
contact,5514
free,5512
give,5486
story,5462
program,5398
state,5341
science,5203
child,5150
play,5136
video,5134
life,5105
art,5001
book,4949
back,4875
win,4786
article,4759
search,4699
list,4628
test,4575
cup,4566
system,4551
number,4382
school,4287
national,4226
tour,4220
view,4193
provide,4189
history,4163
link,4133
top,4109
set,4024
event,3994
age,3985
group,3926
health,3923
add,3885
august,3848
business,3842
sport,3786
change,3760
product,3755
online,3711
term,3703
click,3678
est,3669
woman,3634
live,3631
support,3613
international,3605
call,3602
good,3525
color,3519
policy,3500
family,3478
resource,3442
part,3433
population,3399
write,3386
follow,3378
september,3322
place,3321
government,3311
research,3248
south,3242
photo,3222
center,3188
great,3172
total,3168
team,3163
share,3126
public,3120
end,3104
island,3084
plan,3055
review,3049
data,3035
privacy,3030
rate,3015
house,3012
medium,3007
buy,2990
member,2982
company,2972
feature,2958
food,2946
project,2944
study,2937
water,2935
shop,2935
student,2922
activity,2922
order,2917
technology,2901
thing,2891
museum,2860
question,2826
content,2799
design,2797
week,2784
england,2781
area,2775
doe,2773
sign,2755
american,2748
create,2728
web,2722
star,2722
title,2715
meet,2711
camp,2695
power,2694
code,2690
july,2672
email,2658
city,2650
full,2635
image,2633
australia,2625
education,2619
icc,2616
close,2610
offer,2602
website,2594
experience,2594
language,2591
president,2570
build,2566
visit,2539
high,2526
series,2526
base,2524
word,2515
fun,2510
leave,2501
round,2487
party,2480
long,2464
today,2450
box,2443
june,2437
type,2418
license,2403
computer,2396
university,2387
unite,2380
lead,2379
law,2377
run,2362
love,2355
car,2351
general,2350
source,2347
date,2311
africa,2305
lose,2299
special,2291
hour,2290
player,2275
map,2262
christmas,2260
blog,2257
latest,2255
march,2247
month,2247
parent,2247
point,2241
file,2237
software,2224
internet,2212
watch,2201
match,2189
war,2188
dance,2176
issue,2164
note,2157
rule,2149
community,2144
class,2141
guide,2140
office,2136
jan,2135
press,2133
english,2131
archive,2129
teacher,2122
land,2121
man,2118
social,2094
space,2092
begin,2082
comparison,2071
interest,2070
summer,2069
april,2068
problem,2061
math,2055
feel,2054
fight,2050
music,2049
hand,2036
december,2032
development,2021
continue,2020
sale,2016
mar,2006
sun,2005
west,1983
record,1976
index,1976
january,1970
earth,1959
agency,1957
network,1953
body,1953
line,1946
train,1943
put,1934
level,1928
air,1925
move,1911
market,1907
bird,1906
light,1902
october,1899
return,1899
animal,1895
indian,1895
force,1895
movie,1890
tool,1875
collection,1872
men,1870
library,1868
minute,1860
career,1860
america,1852
friend,1851
travel,1833
big,1828
main,1827
official,1822
king,1821
picture,1817
price,1809
board,1806
care,1796
china,1796
current,1788
explore,1786
control,1782
topic,1781
human,1780
account,1778
safety,1769
north,1766
november,1761
wed,1760
sit,1758
fire,1755
award,1748
save,1742
paper,1735
detail,1729
million,1725
february,1719
case,1717
check,1710
release,1686
fact,1683
access,1675
ago,1674
job,1674
military,1670
idea,1667
turn,1666
action,1664
grade,1657
john,1655
talk,1650
natural,1647
relate,1645
grow,1645
register,1644
club,1642
real,1637
download,1636
court,1635
recipe,1634
process,1627
bring,1624
holiday,1621
user,1618
young,1616
face,1616
fee,1610
death,1609
digital,1608
mail,1598
card,1589
slide,1580
industry,1571
knot,1570
send,1568
global,1566
person,1562
gift,1560
field,1559
receive,1556
local,1555
small,1552
standard,1550
organization,1537
text,1531
deal,1523
head,1522
forum,1521
money,1520
original,1519
film,1519
break,1510
print,1509
future,1509
lot,1500
tip,1500
fall,1499
white,1495
condition,1495
location,1492
early,1481
answer,1474
important,1472
present,1470
org,1467
section,1465
professional,1458
category,1456
trade,1452
address,1450
puzzle,1450
material,1442
window,1441
night,1439
info,1437
bear,1434
publish,1431
canada,1431
model,1429
calendar,1428
management,1426
sea,1425
challenge,1421
common,1420
society,1416
partner,1406
weight,1399
mark,1396
baby,1394
short,1393
bbc,1392
complete,1391
menu,1387
annual,1383
act,1378
teach,1378
reach,1365
eat,1362
develop,1362
gallery,1361
major,1360
energy,1360
girl,1357
store,1348
culture,1347
style,1343
york,1343
environment,1342
draw,1342
measure,1340
popular,1340
enter,1339
century,1339
east,1339
central,1338
entertainment,1338
daily,1335
french,1334
drive,1331
season,1331
tournament,1330
nation,1329
step,1327
skill,1327
single,1325
beat,1324
large,1321
park,1320
stay,1312
black,1310
notice,1307
performance,1302
adult,1302
birth,1290
australian,1280
die,1279
leader,1278
message,1277
staff,1275
select,1274
past,1273
navigation,1272
opportunity,1272
key,1269
pay,1263
quote,1260
asia,1257
mission,1253
choose,1253
eye,1253
hard,1246
speak,1242
worksheet,1242
produce,1240
bill,1238
climate,1237
champion,1236
craft,1235
easy,1235
tree,1228
size,1223
quality,1219
personal,1216
improve,1215
david,1207
faq,1206
due,1205
sound,1205
accord,1204
application,1202
mystery,1202
red,1195
understand,1191
letter,1189
hit,1187
score,1184
oil,1173
bank,1172
production,1172
loss,1171
hear,1170
hurricane,1169
trump,1168
stand,1167
labor,1165
side,1163
double,1162
cook,1162
stop,1159
disney,1159
paint,1157
rise,1153
skip,1151
reference,1149
middle,1146
dog,1142
race,1136
solution,1134
happen,1133
plant,1131
author,1130
europe,1130
credit,1125
rat,1125
practice,1124
shoot,1122
advance,1116
net,1115
cooky,1114
html,1113
kill,1113
association,1110
miss,1110
ancient,1107
foundation,1106
master,1105
green,1099
fund,1095
educational,1091
rock,1089
london,1087
usa,1086
schedule,1079
adventure,1077
democracy,1073
boy,1071
edition,1070
committee,1070
fix,1069
golf,1067
disease,1067
growth,1063
percent,1063
minister,1060
medical,1057
british,1053
modern,1051
kind,1047
apply,1045
table,1042
remain,1042
injury,1040
washington,1035
figure,1034
room,1034
ocean,1032
attack,1031
tech,1031
lesson,1027
voice,1026
boat,1026
ship,1025
classic,1024
european,1024
engineer,1023
zealand,1019
garden,1018
mind,1017
discover,1015
sell,1013
billion,1012
export,1011
enjoy,1011
road,1008
exchange,1007
pdf,1006
director,1005
variety,1001
limit,1000
monday,997
advertise,996
nature,993
survey,992
jam,992
foreign,991
economy,991
goal,988
purchase,987
host,986
grant,985
cut,984
subject,984
range,982
aid,981
safe,980
item,979
department,977
increase,976
quiz,972
artist,971
fish,971
street,969
grand,969
region,967
amazon,967
economic,963
describe,959
statement,957
risk,956
publication,953
son,950
california,948
pick,943
gas,937
weather,936
edit,936
simple,934
financial,933
auction,932
serve,931
low,931
communication,930
matter,928
episode,927
mother,927
happy,923
radio,921
institute,921
character,919
super,916
bid,914
import,914
smith,912
sky,911
cancer,904
lincoln,903
saturday,902
blue,902
period,901
drug,900
heart,897
reason,895
amount,893
theme,892
capital,891
effect,887
union,887
ash,887
specie,885
analysis,883
african,883
song,882
robert,881
distribution,878
spring,878
submit,877
fly,876
prime,876
protect,875
sunday,873
involve,871
chinese,869
michael,868
brain,868
hotel,866
moon,865
favorite,865
mix,864
conference,864
coach,862
perform,860
legal,859
apple,856
count,856
shape,856
knowledge,854
log,851
expert,851
college,848
half,848
drop,846
piece,845
warn,845
motion,844
teen,844
structure,840
addition,840
journal,839
chief,837
seek,836
forest,835
pro,835
scientist,835
express,835
private,835
river,833
environmental,832
fan,830
true,829
consumer,828
centre,827
studio,826
cool,826
magazine,824
description,824
civil,823
unit,823
dress,822
youth,820
doctor,820
western,818
politics,817
ice,816
indie,815
police,811
login,806
exercise,805
fast,805
quick,803
cake,803
urban,803
inside,800
remember,800
germany,799
division,796
fill,796
father,795
object,795
pregnancy,795
basic,793
wind,792
trip,791
dream,788
ready,786
walk,786
spot,785
impact,784
planet,781
cross,781
grind,781
commercial,780
spend,779
zone,779
opinion,778
cost,778
flag,777
copy,776
bad,776
egypt,775
southern,775
kong,774
gold,771
ball,770
god,770
israel,770
largest,769
egg,768
expect,764
display,759
france,757
virtual,756
reader,755
ring,755
ten,753
cat,752
coast,752
campaign,751
property,751
concern,749
shirt,749
facility,747
roll,746
straight,745
operation,745
seed,742
method,741
wildlife,740
choice,740
late,739
length,736
birthday,735
sugar,734
acronym,734
fourth,732
clothe,730
johnson,728
equipment,726
dinosaur,726
drink,724
japan,723
battle,723
dollar,723
decide,718
healthy,718
creative,717
estimate,717
longer,716
rest,716
san,715
microsoft,714
williams,714
clear,713
prepare,713
thanksgiving,713
airport,712
listen,712
manage,712
hundred,711
texas,709
highest,706
famous,706
winter,706
slam,704
county,704
machine,701
dead,701
competition,701
profile,700
load,699
subscription,699
block,699
wear,698
hong,697
football,696
geography,694
celebrate,694
northern,693
captain,691
engine,689
speech,689
chance,689
academy,688
thousand,686
secret,686
position,685
average,685
victory,682
mary,682
fitness,676
strategy,675
interview,675
halloween,675
factbook,675
volunteer,674
interactive,673
lake,673
kingdom,672
hospital,672
solar,670
innovation,670
theory,670
branch,668
arm,668
fashion,667
domain,664
effort,664
browser,664
extension,661
advice,660
league,660
hide,660
speed,659
instrument,658
foot,658
flight,658
george,657
hot,657
bowl,657
literature,656
movement,655
insurance,652
saint,651
judge,651
poker,651
royal,649
difference,647
workshop,647
und,646
statistic,646
marine,645
directory,643
santa,642
festival,640
surface,640
wide,640
browse,639
roman,638
greek,636
town,636
globe,634
stuff,634
investment,632
supply,632
strong,631
gain,631
bag,630
direction,630
constitution,628
pacific,628
rain,627
discussion,626
function,626
storm,626
bar,625
format,624
morning,623
experiment,622
pass,621
carry,620
treat,620
martin,619
budget,618
target,616
square,616
stick,615
exhibition,615
podcast,615
dvd,614
front,614
exhibit,614
latin,614
instruction,613
registration,612
script,609
magic,609
protection,608
memory,606
vision,605
philosophy,604
writer,603
station,601
authority,601
screen,600
degree,597
wait,595
scientific,595
bat,595
unique,594
farm,594
moment,594
accessory,593
religion,593
finish,593
identify,592
pound,592
stage,590
catch,590
fruit,589
fine,588
explain,587
burn,586
clean,586
mile,585
pattern,581
peace,581
session,580
animation,579
discovery,579
technical,577
hall,577
definition,575
fit,575
jump,573
quotation,572
measurement,571
sheet,571
german,570
telephone,568
paul,568
treatment,568
pressure,567
relationship,567
affair,566
reduce,566
patient,566
fuel,565
satellite,564
diet,564
peter,564
lab,564
sex,564
william,564
traditional,564
electronic,564
beach,563
perfect,563
defense,563
recommend,562
wife,562
fair,562
capacity,561
equal,561
auto,560
label,560
cultural,558
italy,558
forward,556
wood,556
worker,556
audio,555
mountain,555
tale,555
currency,555
introduction,553
lord,552
kite,552
fear,551
classroom,550
graphic,549
pet,549
excite,549
avoid,548
cell,548
contest,547
nutrition,547
hat,546
russia,546
factor,546
additional,546
monitor,545
situation,544
dark,544
transportation,544
raise,543
sector,543
educator,542
physic,542
kit,541
mexico,541
database,541
physical,540
sleep,539
origin,538
multiple,538
weekend,537
thomas,536
package,536
journey,534
freedom,534
trust,533
determine,532
ratio,532
door,532
geographic,531
cream,531
forget,530
bahamas,530
stream,529
wall,529
biography,528
musical,528
channel,528
divide,527
sense,526
pre,525
hill,525
damage,525
charles,524
bed,523
florida,522
leadership,522
trick,522
spell,521
touch,521
gmt,519
squash,519
visitor,518
farmer,518
junior,517
collect,517
domestic,517
pop,517
positive,516
locate,516
sort,516
expand,516
custom,515
cycle,514
ton,514
active,513
secure,513
los,512
brother,511
mass,511
spanish,510
employment,510
gov,510
candy,509
chapter,509
cloud,509
construction,509
entire,509
poem,507
toy,507
wave,507
tsunami,507
traffic,505
