No,Link,Keywords
1,http://fredandchloe.blogspot.com/,No keyword given
2,http://www.puffandpooh.com/,cats kittens kitty spca animal shelter kitties cat tree
3,http://www.activity-sheets.com/coloring_page/christmas/," Christmas coloring page sheets, free Christmas coloring pages, printable Christmas activity pages, Santa raindeer coloring pages, X-mas coloring"
4,http://www.fjordstone.com/kidzong/,No keyword given
5,http://www.cookinggames.net/,No keyword given
6,http://www.nurseryrhymes4u.com/,"nurseryrhymes,action,animals,celebrations,christmas,diwali,easter,flowers,food,words of wisdom,multicultural,nursery,rhymes,tongue twisters,poems,drawings,music and song,learning,alphabetical,lullabies,parents,grandparents."
7,http://extension.illinois.edu/hopping/,No keyword given
8,http://www.famous-company.com/,No keyword given
9,http://www.come-over.to/homeschool/dolch.htm,No keyword given
10,http://familycrafts.about.com/od/creativesnacks/r/spidercracker.htm,No keyword given
11,http://www.angelfire.com/electronic/teacher/,"Girl Scout Science, science magic, science for kids, kitchen safe science, homeschool science"
12,http://www.zoodles.com/,No keyword given
13,http://lupovit0.tripod.com/index.htm,No keyword given
14,http://www.kidsites.com/,No keyword given
15,http://www.dtvisions.com/AFQ/,"Amazon, rainforest, Brazil, Negro River, jungle, Amazon indians, teachers, safe kids sites"
16,http://www.teachthechildrenwell.com/,No keyword given
17,http://f_fly.tripod.com/magic.html,"firefly, Ontario, Canadian, Ottawa, firefly productions, kids, autumn, leaves, magic, games, stories, tribbles, wizard, puzzles, shadow, fairies, pixies, dragons, music, fantasy, children"
18,http://www.angelfire.com/ms/torah/children.html,No keyword given
19,http://www.cmany.org/,No keyword given
20,http://www.aplusmath.com/games/index.html,No keyword given
21,http://the-office.com/bedtime-story/classics-aliceinwonderland.htm,No keyword given
22,http://www.funmuseum.org/,No keyword given
23,http://www.squiglysplayhouse.com/,"Squiglys Playhouse, games, brain teasers, puzzles, kids"
24,http://www.primarygames.com/see-n-spell/see-n-spell.htm,No keyword given
25,http://learningbox.com/bunny/,No keyword given
26,http://www.sundhagen.com/babbooks/,"children, kids, books, stories, children's stories, 
interactive, creative, fun, publishing, author, illustrator, online stories, BAB Books"
27,http://tlc.howstuffworks.com/family/dance-activities-for-kids.htm,No keyword given
28,http://www.meddybemps.com/10.1.html,No keyword given
29,http://honeyandoatsstory.tripod.com/index.html,"school,high school,interactive,education,story,honey,oat,web design,project"
30,http://the-office.com/bedtime-story/crystal.htm,No keyword given
32,http://www.bemboszoo.com/,No keyword given
33,http://coloringpagekids.com/,No keyword given
34,http://www.onlinecoloringbookpages.com/,
35,http://www.abc.net.au/abc3/games/,Keywords
36,http://www.artkids.net/,No keyword given
37,http://webrings4fun.50megs.com/halloween/,No keyword given
38,http://www.roomrecess.com/,"educational, learning, games, kids, typing, math, reading, word, spelling, computer, lab, keyboarding, children, students, elementary, online, computer, free"
39,http://www.supercoloring.com/,"coloring page, dot to dot, printable, crafts for kids"
40,http://www.angelfire.com/ny4/kadeemsworld/,"children, Kadeem, kids"
41,http://www.angelfire.com/tx4/playhouse/index.html,"Fun, And, Link's, To, Kid's, Site's"
42,http://www.catwholaughed.com/,No keyword given
43,http://pevelman.tripod.com/,No keyword given
44,http://www.mathplayground.com/games.html,"math games, math, games, free, online, Math Playground, fractions, money, algebra, geometry, multiplication, addition, subtraction, division, math facts, common core"
